STATE_NAME,CENSUS_REGION,USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
Virginia,South,VA,51175,1480171,Southampton,1551777885,8247474,599.145,3.184,36.720173,-77.103856
Virginia,South,VA,51177,1480172,Spotsylvania,1039863362,33044410,401.494,12.759,38.18369,-77.656768
Virginia,South,VA,51179,1480173,Stafford,696457856,28553523,268.904,11.025,38.415386,-77.454872
Virginia,South,VA,51181,1480174,Surry,722475758,81216928,278.949,31.358,37.119761,-76.880172
Virginia,South,VA,51183,1690257,Sussex,1269664182,6755317,490.22,2.608,36.926645,-77.259732
Virginia,South,VA,51185,1497748,Tazewell,1343806442,2913414,518.847,1.125,37.125395,-81.562924
Virginia,South,VA,51187,1674058,Warren,552454918,8546997,213.304,3.3,38.908221,-78.207594
Virginia,South,VA,51191,1498359,Washington,1452917706,12999461,560.975,5.019,36.747831,-81.950316
Virginia,South,VA,51193,1480179,Westmoreland,594077387,61102586,229.375,23.592,38.109311,-76.803933
Virginia,South,VA,51195,1496656,Wise,1044256750,5281162,403.19,2.039,36.974561,-82.62156
Virginia,South,VA,51197,1501379,Wythe,1196122893,7311360,461.826,2.823,36.899873,-81.083005
Virginia,South,VA,51199,1480182,York,271067933,285379989,104.66,110.186,37.220914,-76.395533
Virginia,South,VA,51510,1498415,Alexandria city,38939008,1126391,15.034,0.435,38.820071,-77.084063
Virginia,South,VA,51515,1793650,Bedford city,17814180,61318,6.878,0.024,37.338156,-79.520705
Virginia,South,VA,51520,1498416,Bristol city,33704947,363162,13.014,0.14,36.616954,-82.157564
Virginia,South,VA,51530,1498417,Buena Vista city,17362281,223850,6.704,0.086,37.731663,-79.356375
Virginia,South,VA,51540,1789068,Charlottesville city,26516227,52974,10.238,0.02,38.037658,-78.485381
Virginia,South,VA,51550,1498558,Chesapeake city,882636033,26089979,340.788,10.073,36.679376,-76.301788
Virginia,South,VA,51570,1498420,Colonial Heights city,19476235,757299,7.52,0.292,37.261685,-77.396804
Virginia,South,VA,51580,1789069,Covington city,14163343,522061,5.468,0.202,37.778143,-79.986039
Virginia,South,VA,51590,1498421,Danville city,111198689,2627087,42.934,1.014,36.583334,-79.408071
Virginia,South,VA,51595,1498422,Emporia city,17854903,191799,6.894,0.074,36.696182,-77.535975
Virginia,South,VA,51600,1789070,Fairfax city,16155267,95071,6.238,0.037,38.853183,-77.299025
Virginia,South,VA,51610,1498423,Falls Church city,5146977,6,1.987,0,38.883787,-77.174639
Virginia,South,VA,51620,1498424,Franklin city,21252894,369821,8.206,0.143,36.684014,-76.941396
Virginia,South,VA,51630,1498425,Fredericksburg city,27040028,182484,10.44,0.07,38.299272,-77.486658
Virginia,South,VA,51640,1498426,Galax city,21340444,103782,8.24,0.04,36.66564,-80.914308
Virginia,South,VA,51650,1498554,Hampton city,133145778,219845773,51.408,84.883,37.04803,-76.297149
Virginia,South,VA,51660,1498563,Harrisonburg city,44889772,149936,17.332,0.058,38.431669,-78.876027
Virginia,South,VA,51670,1498428,Hopewell city,26620505,1357034,10.278,0.524,37.29101,-77.298944
Virginia,South,VA,51678,1789071,Lexington city,6466945,68429,2.497,0.026,37.782332,-79.44432
Virginia,South,VA,51680,1498429,Lynchburg city,127239716,1344990,49.128,0.519,37.399016,-79.195458
Virginia,South,VA,51683,1498430,Manassas city,25593471,138824,9.882,0.054,38.747172,-77.484536
Virginia,South,VA,51685,1498431,Manassas Park city,6562390,2612,2.534,0.001,38.768952,-77.44877
Virginia,South,VA,51690,1789072,Martinsville city,28376636,133615,10.956,0.052,36.683527,-79.863647
Virginia,South,VA,51700,1498555,Newport News city,178324757,131488022,68.852,50.768,37.076166,-76.521968
Virginia,South,VA,51710,1498557,Norfolk city,140069003,109463794,54.081,42.264,36.923015,-76.244641
Virginia,South,VA,51720,1498434,Norton city,19375322,89169,7.481,0.034,36.931549,-82.625996
Virginia,South,VA,51730,1498435,Petersburg city,59398084,632632,22.934,0.244,37.20473,-77.392368
Virginia,South,VA,51735,1498436,Poquoson city,39846967,163453793,15.385,63.11,37.12836,-76.303534
Virginia,South,VA,51740,1498556,Portsmouth city,87135027,33901184,33.643,13.089,36.85943,-76.356269
Virginia,South,VA,51750,1498438,Radford city,25567147,867993,9.872,0.335,37.120116,-80.559154
Virginia,South,VA,51760,1789073,Richmond city,154942192,6879741,59.824,2.656,37.531399,-77.476009
Virginia,South,VA,51770,1498439,Roanoke city,110140707,883956,42.526,0.341,37.278458,-79.958174
Virginia,South,VA,51775,1789074,Salem city,37402606,263436,14.441,0.102,37.285333,-80.055241
Virginia,South,VA,51790,1789075,Staunton city,51733253,155184,19.974,0.06,38.158056,-79.061501
Virginia,South,VA,51800,1498560,Suffolk city,1036467585,74871033,400.182,28.908,36.697157,-76.634781
Virginia,South,VA,51810,1498559,Virginia Beach city,645849474,642268988,249.364,247.981,36.779322,-76.024021
Virginia,South,VA,51820,1498443,Waynesboro city,38927942,410156,15.03,0.158,38.067157,-78.90142
Virginia,South,VA,51830,1789076,Williamsburg city,23098601,416080,8.918,0.161,37.269481,-76.708193
Virginia,South,VA,51840,1789077,Winchester city,23912612,54098,9.233,0.021,39.173869,-78.176356
Washington,West,WA,53001,1531601,Adams,4985669129,12622881,1924.978,4.874,47.011238,-118.512861
Washington,West,WA,53003,1533502,Asotin,1647780187,11450483,636.212,4.421,46.181861,-117.227781
Washington,West,WA,53005,1513302,Benton,4404062611,154325810,1700.418,59.586,46.22812,-119.516666
Washington,West,WA,53007,1531932,Chelan,7564200162,189998659,2920.554,73.359,47.860976,-120.619044
Washington,West,WA,53009,1531341,Clallam,4503157980,2413676105,1738.679,931.926,48.110903,-123.88986
Washington,West,WA,53011,1531820,Clark,1629176557,70459265,629.029,27.204,45.771674,-122.485903
Washington,West,WA,53013,1513273,Columbia,2249793850,12566852,868.65,4.852,46.29285,-117.911634
Washington,West,WA,53015,1529156,Cowlitz,2953144677,67322703,1140.216,25.993,46.185923,-122.658682
