ZIP,CENSUS_REGION,STATE_NAME,CITY_NAME,STATE,LAT,LONG,COUNTY
01059,Northeast,Massachusetts,NORTH AMHERST,MA,42.4102,72.5313,HAMPSHIRE
01060,Northeast,Massachusetts,NORTHAMPTON,MA,42.324662,72.654245,HAMPSHIRE
01061,Northeast,Massachusetts,NORTHAMPTON,MA,42.3209,72.6278,HAMPSHIRE
01062,Northeast,Massachusetts,NORTHAMPTON,MA,42.3231,72.6808,HAMPSHIRE
01063,Northeast,Massachusetts,NORTHAMPTON,MA,42.318,72.6354,HAMPSHIRE
01066,Northeast,Massachusetts,NORTH HATFIELD,MA,42.411111,72.622778,HAMPSHIRE
01068,Northeast,Massachusetts,OAKHAM,MA,42.348033,72.051265,WORCESTER
01069,Northeast,Massachusetts,PALMER,MA,42.176233,72.328785,HAMPDEN
01070,Northeast,Massachusetts,PLAINFIELD,MA,42.514393,72.918289,HAMPSHIRE
01071,Northeast,Massachusetts,RUSSELL,MA,42.147063,72.840343,HAMPDEN
01072,Northeast,Massachusetts,SHUTESBURY,MA,42.481968,72.421342,FRANKLIN
01073,Northeast,Massachusetts,SOUTHAMPTON,MA,42.224697,72.719381,HAMPSHIRE
01074,Northeast,Massachusetts,SOUTH BARRE,MA,42.385278,72.095833,WORCESTER
01075,Northeast,Massachusetts,SOUTH HADLEY,MA,42.237537,72.581137,HAMPSHIRE
01077,Northeast,Massachusetts,SOUTHWICK,MA,42.051099,72.770588,HAMPDEN
01079,Northeast,Massachusetts,THORNDIKE,MA,42.1875,72.336111,HAMPDEN
01080,Northeast,Massachusetts,THREE RIVERS,MA,42.181894,72.362352,HAMPDEN
01081,Northeast,Massachusetts,WALES,MA,42.062734,72.204592,HAMPDEN
01082,Northeast,Massachusetts,WARE,MA,42.261831,72.258285,HAMPSHIRE
01083,Northeast,Massachusetts,WARREN,MA,42.2125,72.191667,WORCESTER
01084,Northeast,Massachusetts,WEST CHESTERFIELD,MA,42.402778,72.876389,HAMPSHIRE
01085,Northeast,Massachusetts,WESTFIELD,MA,42.129484,72.754318,HAMPDEN
01086,Northeast,Massachusetts,WESTFIELD,MA,42.125,72.75,HAMPDEN
01088,Northeast,Massachusetts,WEST HATFIELD,MA,42.370833,72.6375,HAMPSHIRE
01089,Northeast,Massachusetts,WEST SPRINGFIELD,MA,42.115066,72.641109,HAMPDEN
01090,Northeast,Massachusetts,WEST SPRINGFIELD,MA,42.106944,72.620833,HAMPDEN
01092,Northeast,Massachusetts,WEST WARREN,MA,42.20734,72.203639,WORCESTER
01093,Northeast,Massachusetts,WHATELY,MA,42.439722,72.635278,FRANKLIN
